fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Ticker
2024-12-31,USD,1590400000,2628100000,1037700000,1037700000,686300000,375800000,0,904200000,0,-235900000,0,235900000,0,0,0,321300000,417800000,108200000,0,309600000,0,653700000,975000000,309600000,WEX
2023-12-31,USD,1200000,2548000000,969150000,969150000,14810000,725034000,78700000,1859383000,0,-157190000,0,157190000,0,0,0,276200000,14810000,102200000,0,270361000,0,14810000,14810000,14810000,WEX
2022-12-31,USD,1420061000,2350511000,930450000,930450000,469842000,343901000,77997000,813733000,0,-130690000,70208000,130690000,0,0,0,263868000,260546000,93085000,0,167461000,0,386003000,649871000,201400000,WEX
2021-12-31,USD,1148433000,1850542000,702109000,702109000,342000000,326878000,74189000,806433000,0,-128422000,101571000,128422000,0,-12339000,0,272641000,203946000,67807000,0,136139000,0,358018000,630659000,136139000,WEX
2020-12-31,USD,886694000,1559869000,673175000,673175000,171058000,292109000,72363000,716127000,0,-157080000,209899000,157080000,0,-25292000,0,261926000,-301081000,-20597000,0,-280484000,0,-128159000,133767000,-280484000,WEX
2019-12-31,USD,1063921000,1723691000,659770000,659770000,385841000,275807000,57821000,678080000,0,-134677000,170257000,134677000,0,6000,0,237129000,216516000,61223000,0,155293000,0,351193000,588322000,155293000,WEX
2018-12-31,USD,944710000,1492639000,547929000,547929000,380638000,209319000,38632000,558423000,0,-105023000,141244000,105023000,0,-39575000,0,199805000,238619000,68843000,0,169776000,0,343642000,543447000,168295000,WEX
2017-12-31,USD,740489000,1250548000,510059000,510059000,239270000,184734000,32582000,478006000,0,-107067000,74266000,107067000,0,45178000,0,203724000,178695000,19525000,0,159170000,0,281482999,485206999,160266000,WEX
2016-12-31,USD,513376000,1018460000,505084000,505084000,195128000,44610000,27581000,310762000,0,-113418000,109032000,113418000,0,-8228000,0,141651000,87101000,29625000,0,57476000,0,200519000,342170000,60637000,WEX
2015-12-31,USD,452776000,854637000,401861000,401861000,228793000,37499000,20316000,216188000,0,0,46030000,46189000,0,-5689000,0,83077000,184908000,75296000,0,109612000,0,231097000,314174000,101904000,WEX
2014-12-31,USD,458381000,817647000,359266000,359266000,306238000,32860000,18661000,179633000,0,0,0,36042000,0,-13438000,0,70380000,301639000,101621000,0,200018000,0,277417000,347797000,202211000,WEX
2013-12-31,USD,425027000,717463000,292436000,292436000,276739000,28176000,18830000,148288000,0,0,0,29419000,0,964000,0,58208000,238400000,90102000,0,148298000,0,269170000,327378000,149208000,WEX
2012-12-31,USD,365906000,623151000,257245000,257245000,221619000,21264000,20694000,144287000,0,0,0,10433000,0,-299000,0,66360000,206183000,109474000,0,96709000,0,204653000,271013000,96922000,WEX
2011-12-31,USD,463687000,553076000,89389000,89389000,233324000,116413000,0,224910000,0,0,0,17129000,0,-459000,0,48112000,208605000,74983000,0,133622000,0,219451000,267563000,133622000,WEX
2010-12-31,USD,328676000,390406000,61730000,61730000,150709000,96018000,0,172597000,0,0,0,10684000,0,7145000,0,29893000,145082000,57453000,0,87629000,0,152007000,181900000,87629000,WEX
2009-12-31,USD,212632000,318224000,105592000,105592000,118150000,11421000,9327000,81208000,0,0,0,19484000,0,0,0,22559000,225244000,85585000,0,0,0,231454000,254013000,139659000,WEX
2008-12-31,USD,303097000,393582000,90485000,90485000,161432000,11686000,8510000,232150000,0,0,0,46852000,0,0,0,20588000,195765000,68125000,0,0,0,207159000,227747000,127640000,WEX
2007-12-31,USD,246901000,336128000,89227000,89227000,152092000,32256000,8738000,94809000,0,0,0,12677000,0,0,0,15719000,163137000,111560000,0,0,0,152092000,167811000,51577000,WEX
2006-12-31,USD,260027000,291247000,31220000,31220000,135103000,71667000,7823000,124924000,0,0,0,14447000,0,0,0,12081000,116476000,41867000,0,0,0,135103000,147184000,74609000,WEX
2005-12-31,USD,235459000,241333000,5874000,5874000,121136000,110279000,0,120197000,0,0,0,12966000,0,0,0,11100000,27873000,9220000,0,0,0,186914000,198014000,18653000,WEX
